"","Practice","Pres_Count_Allergies","Pres_Count_Asthma","Pres_Count_Diabetes"
"173","A83020",78,33,87
"174","A83021",89,45,78
"175","A83022",99,38,101
"176","A83023",65,36,74
"177","A83024",32,24,63
"178","A83025",91,36,82
"179","A83026",68,21,68
"180","A83027",66,21,59
"181","A83028",64,32,66
"182","A83029",65,17,47
"183","A83030",78,29,82
"184","A83031",88,32,70
"185","A83032",25,17,41
"186","A83033",54,22,63
"187","A83034",73,25,59
"188","A83035",57,31,71
"189","A83036",73,21,66
"190","A83037",83,40,76
"191","A83038",57,29,56
"192","A83040",75,36,75
"193","A83041",76,36,71
"194","A83042",32,26,65
"195","A83043",38,19,51
"196","A83044",57,34,63
"197","A83045",105,40,83
"198","A83046",78,30,68
"199","A83047",65,42,86
"200","A83048",55,26,52
"201","A83049",73,36,73
"202","A83050",112,23,69
"203","A83051",81,39,71
"204","A83052",82,32,77
"205","A83054",100,30,69
"206","A83055",43,12,43
"207","A83057",43,35,73
"208","A83060",35,21,47
"209","A83061",37,16,41
"210","A83066",46,32,72
"211","A83070",70,27,73
"212","A83071",43,26,52
"213","A83072",57,18,44
"214","A83073",50,24,57
"215","A83074",83,37,74
"216","A83075",46,19,55
"217","A83076",38,23,41
"218","A83603",28,21,40
"219","A83610",20,23,45
"220","A83616",24,27,50
"221","A83617",34,18,38
"222","A83618",41,25,49
"223","A83619",15,32,44
"224","A83622",21,14,37
"225","A83626",34,16,39
"226","A83627",39,29,56
"227","A83630",23,13,28
"228","A83632",27,15,40
"229","A83634",23,18,41
"230","A83635",55,32,48
"231","A83636",41,24,57
"232","A83637",36,20,33
"233","A83638",16,18,36
"234","A83641",41,24,58
"235","A83642",0,0,0
"236","A83643",0,0,0
"237","A83644",25,27,50
"238","A83645",0,0,0
"239","A84002",39,18,51
"240","A84003",60,28,60
"241","A84005",81,27,54
"242","A84006",43,22,58
"243","A84007",54,18,64
"244","A84008",31,25,36
"245","A84009",70,35,78
"246","A84011",35,17,55
"247","A84013",41,18,57
"248","A84014",57,27,55
"249","A84015",22,32,46
"250","A84016",41,15,38
"251","A84018",40,20,46
"252","A84020",44,34,54
"253","A84021",62,31,55
"254","A84022",60,27,61
"255","A84024",57,26,60
"256","A84025",56,32,60
"257","A84026",49,32,59
"258","A84027",33,16,34
"259","A84028",72,35,71
"260","A84029",21,14,27
"261","A84030",57,26,50
"262","A84031",56,13,40
"263","A84032",19,16,40
"264","A84033",45,22,44
"265","A84034",37,25,45
"266","A84035",45,16,53
"267","A84036",69,33,68
"268","A84037",33,26,50
"269","A84038",46,29,50
"270","A84039",40,15,49
"271","A84040",28,18,38
"272","A84042",22,18,32
"273","A84043",87,29,79
"274","A84044",38,23,65
"275","A84045",47,20,52
"276","A84047",35,17,43
"277","A84048",48,29,53
"278","A84604",11,15,30
"279","A84609",10,15,32
"280","A84613",0,0,0
"281","A84614",10,8,30
"282","A84619",28,13,41
"283","A85001",72,20,59
"284","A85002",33,16,50
"285","A85003",81,28,55
"286","A85004",83,28,68
"287","A85005",80,32,78
"288","A85006",73,26,62
"289","A85007",63,22,59
"290","A85008",105,26,84
"291","A85009",44,28,61
"292","A85010",73,25,80
"293","A85011",62,24,62
"294","A85012",41,21,43
"295","A85013",22,20,55
"296","A85014",68,20,58
"297","A85016",85,24,70
"298","A85017",46,17,37
"299","A85018",44,23,59
"300","A85019",103,25,58
"301","A85020",93,28,66
"302","A85021",24,19,39
"303","A85023",27,25,53
"304","A85024",28,18,52
"305","A85026",46,18,48
"306","A85605",14,11,28
"307","A85609",18,12,39
"308","A85611",42,20,50
"309","A85614",37,16,45
"310","A85616",21,20,49
"311","A85617",32,13,51
"312","A85620",48,17,43
"313","A85621",6,2,2
"314","A86003",96,28,77
"315","A86004",79,28,66
"316","A86005",51,27,60
"317","A86006",31,18,49
"318","A86007",25,9,33
"319","A86008",66,28,72
"320","A86009",43,23,51
"321","A86010",69,26,52
"322","A86011",64,33,65
"323","A86012",71,22,57
"324","A86013",58,20,63
"325","A86015",45,18,42
"326","A86016",45,17,51
"327","A86017",63,28,70
"328","A86018",97,25,51
"329","A86020",50,7,30
"330","A86021",66,28,63
"331","A86022",53,19,61
"332","A86023",71,29,54
"333","A86024",46,20,45
"334","A86025",60,23,70
"335","A86026",77,17,57
"336","A86027",23,10,32
"337","A86028",34,19,46
"338","A86029",60,33,70
"339","A86030",71,30,66
"340","A86031",70,21,61
"341","A86033",58,13,35
"342","A86035",23,10,31
"343","A86036",59,16,50
"344","A86037",59,30,68
"345","A86038",52,33,54
"346","A86040",44,23,47
"347","A86041",32,14,54
"348","A86601",61,21,65
"349","A87002",36,23,42
"350","A87003",56,31,63
"351","A87004",81,39,71
"352","A87005",61,30,51
"353","A87006",37,17,42
"354","A87007",63,23,61
"355","A87008",43,19,45
"356","A87009",103,26,61
"357","A87011",31,14,51
"358","A87012",67,28,64
"359","A87013",47,28,60
"360","A87014",48,22,41
"361","A87015",62,18,44
"362","A87016",57,35,56
"363","A87017",38,21,50
"364","A87019",43,21,43
"365","A87020",64,23,64
"366","A87022",38,20,46
"367","A87023",40,18,37
"368","A87027",35,25,50
"369","A87029",32,16,49
"370","A87030",38,21,50
"371","A87600",47,11,45
"372","A87612",45,23,58
"373","A87615",28,10,35
"374","A88001",30,21,44
"375","A88002",70,37,63
"376","A88003",66,34,61
"377","A88004",86,40,62
"378","A88005",35,29,52
"379","A88006",66,33,61
"380","A88007",72,29,48
"381","A88008",37,30,50
"382","A88009",49,23,49
"383","A88010",32,19,51
"384","A88011",20,25,36
"385","A88012",51,27,51
"386","A88013",75,38,65
"387","A88014",24,26,42
"388","A88015",42,29,66
"389","A88016",52,28,64
"390","A88020",31,19,32
"391","A88022",60,33,65
"392","A88023",49,33,58
"393","A88025",31,27,51
"394","A88601",32,23,41
"395","A88603",30,15,38
"396","A88608",58,30,58
"397","A88611",16,16,31
"398","A88613",45,25,55
"399","A88614",26,19,30
"400","A89001",87,32,79
"401","A89002",33,18,49
"402","A89003",44,26,66
"403","A89004",67,36,73
"404","A89005",42,30,52
"405","A89006",45,28,73
"406","A89007",65,26,68
"407","A89008",51,29,54
"408","A89009",62,24,55
"409","A89010",91,34,63
"410","A89011",26,19,44
"411","A89012",51,26,51
"412","A89013",49,30,57
"413","A89014",28,27,34
"414","A89015",94,23,65
"415","A89016",51,29,52
"416","A89017",85,26,73
"417","A89018",48,23,59
"418","A89019",74,31,73
"419","A89020",62,31,65
"420","A89021",62,28,67
"421","A89022",43,26,61
"422","A89023",74,19,56
"423","A89024",48,31,54
"424","A89025",52,28,59
"425","A89026",25,18,47
"426","A89027",45,32,58
"427","A89028",65,30,59
"428","A89029",15,18,41
"429","A89030",59,28,54
"430","A89031",51,28,57
"431","A89032",34,22,55
"432","A89034",23,28,47
"433","A89035",45,25,54
"434","A89036",27,14,39
"435","A89038",35,28,52
"436","A89040",45,17,43
"437","A89041",60,28,60
"438","A89042",25,21,59
"439","A89603",30,18,43
"440","A89604",47,27,48
"441","A89610",25,24,50
"442","A89611",16,13,30
"443","A89612",21,20,40
"444","A89614",27,18,55
"445","A89616",20,12,44
"446","A89617",16,15,36
"447","A89620",23,24,43
"448","A89621",23,18,39
"449","A89623",36,18,34
"450","A89624",24,13,50
"451","A89632",0,0,0
"452","A89634",0,0,0
"453","B81002",44,26,53
"454","B81003",97,50,77
"455","B81004",88,44,97
"456","B81005",110,51,99
"457","B81006",68,35,85
"458","B81007",86,37,82
"459","B81008",135,48,104
"460","B81009",88,35,79
"461","B81010",70,44,89
"462","B81011",76,38,84
"463","B81012",40,25,55
"464","B81013",84,35,92
"465","B81014",65,38,69
"466","B81015",85,39,70
"467","B81016",55,36,69
"468","B81017",78,39,78
"469","B81018",68,46,70
"470","B81019",36,29,38
"471","B81020",86,31,80
"472","B81021",65,25,67
"473","B81022",109,45,85
"474","B81023",44,29,61
"475","B81024",90,25,63
"476","B81025",109,47,101
"477","B81026",118,42,93
"478","B81027",56,30,88
"479","B81029",47,34,74
"480","B81030",96,28,75
"481","B81031",81,34,77
"482","B81032",15,13,36
"483","B81034",86,37,78
"484","B81035",71,26,61
"485","B81036",97,40,76
"486","B81037",106,36,95
"487","B81038",59,40,75
"488","B81039",121,49,100
"489","B81040",102,51,93
"490","B81041",48,35,71
"491","B81042",105,29,84
"492","B81043",102,41,95
"493","B81045",92,49,81
"494","B81046",89,45,84
"495","B81047",63,35,69
"496","B81048",78,32,93
"497","B81049",61,27,81
"498","B81050",90,41,93
"499","B81051",88,33,70
"500","B81052",37,18,58
"501","B81053",93,35,91
"502","B81054",66,31,80
"503","B81055",47,25,49
"504","B81056",82,38,82
"505","B81057",39,24,41
"506","B81058",70,28,77
"507","B81060",59,43,89
"508","B81061",121,49,108
"509","B81062",84,33,81
"510","B81063",59,30,69
"511","B81064",75,36,77
"512","B81065",93,41,83
"513","B81066",26,24,41
"514","B81068",115,47,98
"515","B81069",71,42,94
"516","B81070",48,44,76
"517","B81072",0,2,0
"518","B81074",37,25,61
"519","B81075",15,14,30
"520","B81077",62,29,67
"521","B81080",38,16,47
"522","B81081",33,25,68
"523","B81082",58,24,66
"524","B81084",46,29,72
"525","B81085",46,23,51
"526","B81087",53,31,59
"527","B81088",45,35,69
"528","B81089",22,30,59
"529","B81090",47,33,61
"530","B81091",31,12,43
"531","B81092",76,30,81
"532","B81094",13,13,31
"533","B81095",45,19,56
"534","B81097",14,11,33
"535","B81099",57,29,66
"536","B81100",45,15,57
"537","B81101",74,25,68
"538","B81104",24,11,44
"539","B81108",52,30,54
"540","B81109",82,30,99
"541","B81112",56,32,68
"542","B81113",70,30,65
"543","B81118",45,30,76
"544","B81119",44,26,57
"545","B81120",29,24,45
"546","B81121",47,11,47
"547","B81602",31,14,45
"548","B81603",28,15,44
"549","B81606",37,30,60
"550","B81616",32,21,54
"551","B81617",77,41,88
"552","B81619",52,21,55
"553","B81620",21,23,37
"554","B81622",33,18,51
"555","B81628",39,20,41
"556","B81631",27,19,62
"557","B81634",22,24,43
"558","B81635",30,18,55
"559","B81642",33,30,45
"560","B81644",30,13,32
"561","B81645",41,26,61
"562","B81647",32,27,62
"563","B81648",13,18,36
"564","B81653",36,15,56
"565","B81655",19,23,33
"566","B81656",45,32,59
"567","B81658",26,17,36
"568","B81663",23,28,39
"569","B81664",17,20,42
"570","B81665",21,18,57
"571","B81666",31,9,27
"572","B81671",1,0,0
"573","B81674",21,8,27
"574","B81675",55,27,73
"575","B81677",38,28,50
"576","B81682",69,37,74
"577","B81683",25,23,42
"578","B81685",30,22,44
"579","B81688",34,23,52
"580","B81689",13,14,34
"581","B81690",12,10,28
"582","B81692",22,17,38
"583","B81693",14,22,41
"584","B81697",29,26,50
"585","B82001",72,33,57
"586","B82002",47,26,54
"587","B82003",25,18,52
"588","B82004",57,30,65
"589","B82005",152,52,105
"590","B82006",35,19,51
"591","B82007",78,34,77
"592","B82008",55,32,76
"593","B82010",67,28,69
"594","B82011",43,25,67
"595","B82012",69,25,66
"596","B82013",98,40,87
"597","B82014",69,29,66
"598","B82016",57,23,53
"599","B82017",77,42,81
"600","B82018",33,28,54
"601","B82019",29,16,53
"602","B82020",87,33,80
"603","B82021",51,23,46
"604","B82022",46,23,65
"605","B82023",59,28,65
"606","B82024",68,25,67
"607","B82025",99,41,99
"608","B82026",149,46,100
"609","B82027",78,35,76
"610","B82028",64,30,84
"611","B82029",26,19,45
"612","B82030",44,23,63
"613","B82031",61,40,62
"614","B82032",88,31,69
"615","B82033",89,46,80
"616","B82034",54,24,62
"617","B82035",60,20,54
"618","B82036",61,19,53
"619","B82037",55,35,69
"620","B82038",64,19,50
"621","B82041",79,42,76
"622","B82042",66,41,59
"623","B82044",56,20,61
"624","B82045",29,24,50
"625","B82046",30,21,50
"626","B82047",40,22,63
"627","B82049",57,23,55
"628","B82050",114,43,103
"629","B82053",84,35,74
"630","B82054",90,40,78
"631","B82057",51,22,48
"632","B82059",90,34,63
"633","B82060",86,35,67
"634","B82061",51,28,57
"635","B82062",24,17,42
"636","B82063",48,34,66
"637","B82064",23,20,35
"638","B82066",74,31,74
"639","B82067",34,26,58
"640","B82068",29,14,45
"641","B82069",86,30,61
"642","B82071",52,21,62
"643","B82072",46,25,51
"644","B82073",54,28,69
"645","B82074",89,43,77
"646","B82075",65,38,74
"647","B82077",41,21,64
"648","B82078",37,25,70
"649","B82079",17,17,46
"650","B82080",86,39,84
"651","B82081",50,19,55
"652","B82083",95,48,92
"653","B82086",25,8,36
"654","B82088",54,38,72
"655","B82091",44,22,63
"656","B82092",43,27,53
"657","B82095",30,17,41
"658","B82097",59,32,66
"659","B82098",68,24,75
"660","B82100",34,20,52
"661","B82101",66,24,73
"662","B82103",13,11,32
"663","B82104",53,20,54
"664","B82105",57,32,75
"665","B82106",37,20,48
"666","B82609",31,21,42
"667","B82611",46,28,56
"668","B82619",9,11,29
"669","B82622",29,15,27
"670","B82628",37,27,51
"671","B82634",0,1,2
"672","B82635",0,0,0
"673","B82636",0,0,0
"674","B82638",3,1,3
"675","B83002",41,15,42
"676","B83005",73,36,69
"677","B83006",83,28,77
"678","B83007",78,22,50
"679","B83008",103,29,76
"680","B83009",65,36,58
"681","B83010",78,36,77
"682","B83011",41,28,63
"683","B83012",105,29,71
"684","B83013",84,34,76
"685","B83014",110,26,75
"686","B83015",68,34,74
"687","B83016",82,26,55
"688","B83017",89,29,71
"689","B83018",80,37,69
"690","B83019",54,20,46
"691","B83020",72,43,68
"692","B83021",105,40,83
"693","B83022",71,22,56
"694","B83023",76,29,73
"695","B83025",50,23,58
"696","B83026",72,20,62
"697","B83027",69,33,71
"698","B83028",74,39,72
"699","B83029",68,37,71
"700","B83030",86,37,70
"701","B83031",37,19,51
"702","B83032",35,23,43
"703","B83033",110,37,68
"704","B83034",74,29,90
"705","B83035",113,29,67
"706","B83037",83,32,75
"707","B83038",117,39,84
"708","B83039",89,35,83
"709","B83040",72,28,67
"710","B83041",82,32,60
"711","B83042",66,40,73
"712","B83043",56,23,64
"713","B83044",65,34,70
"714","B83045",78,29,65
"715","B83049",50,32,47
"716","B83050",92,28,64
"717","B83051",16,5,35
"718","B83052",124,41,72
"719","B83054",59,34,64
"720","B83055",140,46,93
"721","B83056",58,26,60
"722","B83058",92,28,71
"723","B83061",36,22,45
"724","B83062",81,42,63
"725","B83063",88,37,68
"726","B83064",52,33,78
"727","B83067",37,28,62
"728","B83069",29,17,53
"729","B83070",41,19,59
"730","B83071",24,12,40
"731","B83602",101,22,66
"732","B83604",58,28,74
"733","B83611",37,14,49
"734","B83613",52,19,60
"735","B83614",64,18,58
"736","B83617",36,12,47
"737","B83620",29,15,51
"738","B83621",43,18,51
"739","B83622",42,23,50
"740","B83624",114,34,74
"741","B83626",68,29,67
"742","B83627",32,16,52
"743","B83628",46,19,56
"744","B83629",37,20,63
"745","B83631",39,22,53
"746","B83638",46,22,59
"747","B83641",90,22,64
"748","B83642",19,14,46
"749","B83653",94,34,72
"750","B83656",0,0,0
"751","B83657",31,18,45
"752","B83659",29,11,41
"753","B83660",81,29,69
"754","B83661",34,15,56
"755","B83666",0,0,0
"756","B83667",0,0,0
"757","B83693",0,0,0
"758","B83699",0,0,0
"759","B84001",72,44,91
"760","B84002",69,27,62
"761","B84003",67,35,67
"762","B84004",131,38,94
"763","B84005",86,34,70
"764","B84006",124,42,91
"765","B84007",61,34,66
"766","B84008",104,39,82
"767","B84009",93,38,69
"768","B84010",74,43,83
"769","B84011",74,40,78
"770","B84012",74,29,56
"771","B84013",72,41,82
"772","B84014",50,25,56
"773","B84016",78,32,62
"774","B84017",28,20,41
"775","B84019",89,35,75
"776","B84021",77,28,72
"777","B84610",54,24,63
"778","B84612",52,42,84
"779","B84613",77,48,75
"780","B84615",19,24,43
"781","B84618",95,32,77
"782","B84623",58,19,49
"783","B85001",49,32,55
"784","B85002",40,19,47
"785","B85004",37,28,50
"786","B85005",65,24,54
"787","B85006",93,27,72
"788","B85008",43,27,57
"789","B85009",91,34,64
"790","B85010",51,35,59
"791","B85011",35,22,45
"792","B85012",123,38,67
"793","B85014",91,47,76
"794","B85015",82,35,71
"795","B85016",94,40,68
"796","B85018",81,43,81
"797","B85019",117,42,95
"798","B85020",87,36,70
"799","B85021",71,40,53
"800","B85022",66,24,59
"801","B85023",77,23,60
"802","B85024",98,40,73
"803","B85025",114,37,71
"804","B85026",86,23,48
"805","B85027",101,35,70
"806","B85028",123,39,97
"807","B85030",122,32,55
"808","B85031",70,29,58
"809","B85032",39,31,47
"810","B85033",56,29,57
"811","B85036",53,31,69
"812","B85037",45,35,70
"813","B85038",52,34,60
"814","B85041",102,36,79
"815","B85042",77,42,63
"816","B85044",32,16,44
"817","B85048",33,26,52
"818","B85051",72,28,70
"819","B85054",46,37,52
"820","B85055",100,29,75
"821","B85058",26,28,51
"822","B85059",41,27,44
"823","B85060",66,30,62
"824","B85061",89,25,67
"825","B85062",37,14,25
"826","B85606",41,35,49
"827","B85610",71,28,72
"828","B85611",33,23,57
"829","B85612",47,32,50
"830","B85614",37,25,69
"831","B85619",32,17,52
"832","B85620",29,16,42
"833","B85621",23,22,35
"834","B85622",50,22,45
"835","B85623",26,18,52
"836","B85634",28,16,53
"837","B85636",40,19,42
"838","B85638",54,25,60
"839","B85640",46,27,48
"840","B85641",62,20,48
"841","B85644",39,14,32
"842","B85645",54,16,49
"843","B85646",79,34,55
"844","B85650",30,19,53
"845","B85652",75,30,68
"846","B85655",31,32,42
"847","B85657",0,0,0
"848","B85658",0,0,0
"849","B85659",20,12,18
"850","B85660",65,33,48
"851","B86001",17,15,42
"852","B86002",78,37,70
"853","B86003",75,39,79
"854","B86004",51,31,74
"855","B86005",44,26,52
"856","B86006",101,36,68
"857","B86007",58,39,73
"858","B86008",64,34,70
"859","B86009",62,28,55
"860","B86010",73,28,66
"861","B86011",70,30,67
"862","B86012",92,32,76
"863","B86013",105,38,71
"864","B86014",71,38,84
"865","B86015",112,52,84
"866","B86016",101,45,72
"867","B86017",74,30,75
"868","B86018",47,30,64
"869","B86019",52,23,63
"870","B86020",88,33,78
"871","B86022",83,33,65
"872","B86023",35,23,42
"873","B86024",82,41,72
"874","B86025",56,29,63
"875","B86028",24,27,46
"876","B86029",55,24,50
"877","B86030",78,29,70
"878","B86031",38,22,58
"879","B86032",97,29,78
"880","B86033",67,28,73
"881","B86034",62,24,58
"882","B86035",55,33,67
"883","B86036",77,31,72
"884","B86037",7,3,2
"885","B86038",69,28,71
"886","B86039",47,23,53
"887","B86041",55,28,43
"888","B86042",71,44,80
"889","B86043",65,42,64
"890","B86044",109,33,93
"891","B86047",55,24,61
"892","B86048",67,40,77
"893","B86049",60,25,66
"894","B86050",114,46,90
"895","B86051",59,23,59
"896","B86052",88,26,67
"897","B86054",70,34,67
"898","B86055",73,31,66
"899","B86056",70,26,44
"900","B86057",92,39,75
"901","B86058",50,28,51
"902","B86059",79,41,70
"903","B86060",77,33,59
"904","B86061",49,20,64
"905","B86062",66,41,73
"906","B86064",106,42,83
"907","B86066",82,32,60
"908","B86067",95,46,83
"909","B86068",52,32,70
"910","B86069",65,34,55
"911","B86070",46,33,55
"912","B86071",49,27,53
"913","B86074",24,13,49
"914","B86075",78,37,81
"915","B86077",50,32,62
"916","B86081",74,37,68
"917","B86086",31,28,52
"918","B86089",49,28,60
"919","B86092",46,23,56
"920","B86093",42,24,51
"921","B86094",42,26,53
"922","B86095",23,29,45
"923","B86096",59,32,60
"924","B86100",45,19,61
"925","B86101",40,31,66
"926","B86102",0,0,1
"927","B86103",17,13,56
"928","B86104",59,33,52
"929","B86106",44,30,46
"930","B86107",52,20,54
"931","B86108",22,19,55
"932","B86109",52,23,51
"933","B86110",37,8,40
"934","B86623",14,17,28
"935","B86625",27,34,50
"936","B86633",36,27,48
"937","B86638",16,16,25
"938","B86642",13,22,31
"939","B86643",42,18,52
"940","B86648",20,24,33
"941","B86651",9,4,17
"942","B86654",41,20,47
"943","B86655",11,11,36
"944","B86658",46,21,46
"945","B86666",29,20,74
"946","B86667",41,27,35
"947","B86669",19,5,18
"948","B86670",6,12,14
"949","B86672",44,21,44
"950","B86673",26,23,53
"951","B86674",5,1,0
"952","B86675",41,32,45
"953","B86678",35,27,53
"954","B86682",38,25,51
"955","B86684",2,1,0
"956","B87001",70,36,74
"957","B87002",82,33,69
"958","B87003",88,33,75
"959","B87004",54,34,62
"960","B87005",81,35,66
"961","B87006",67,45,82
"962","B87007",101,44,84
"963","B87008",96,48,83
"964","B87009",50,42,58
"965","B87011",85,34,72
"966","B87012",62,43,64
"967","B87013",94,41,69
"968","B87015",84,39,72
"969","B87016",119,52,97
"970","B87017",88,35,74
"971","B87018",70,37,60
"972","B87019",59,25,56
"973","B87020",94,29,52
"974","B87021",88,42,76
"975","B87022",35,33,68
"976","B87023",128,47,80
"977","B87025",68,32,53
"978","B87026",103,47,83
"979","B87027",73,38,72
"980","B87028",82,39,71
"981","B87029",78,33,79
"982","B87030",62,42,76
"983","B87031",88,34,71
"984","B87032",51,36,57
"985","B87033",47,28,58
"986","B87036",25,24,65
"987","B87039",111,44,84
"988","B87040",69,34,67
"989","B87041",19,24,42
"990","B87042",72,35,64
"991","B87044",22,23,40
"992","B87600",25,22,35
"993","B87602",19,18,40
"994","B87604",22,27,45
"995","B87614",3,4,0
"996","C81001",70,30,68
"997","C81002",68,32,62
"998","C81003",52,32,65
"999","C81004",42,26,73
"1000","C81005",78,31,81
"1001","C81006",88,30,67
"1002","C81007",67,27,65
"1003","C81008",107,34,70
"1004","C81009",68,33,65
"1005","C81010",82,31,73
"1006","C81012",107,37,70
"1007","C81013",45,14,43
"1008","C81014",112,30,68
"1009","C81015",81,29,59
"1010","C81016",54,31,63
"1011","C81017",78,27,59
"1012","C81018",64,34,75
"1013","C81019",58,30,56
"1014","C81020",58,25,64
"1015","C81021",83,27,76
"1016","C81022",40,19,45
"1017","C81023",48,25,57
"1018","C81025",84,26,70
"1019","C81026",70,22,61
"1020","C81027",29,26,68
"1021","C81028",67,26,53
"1022","C81029",114,46,81
"1023","C81030",92,32,54
"1024","C81031",51,34,67
"1025","C81032",111,39,84
"1026","C81033",78,43,92
"1027","C81034",77,37,65
"1028","C81035",88,28,65
"1029","C81036",45,14,46
"1030","C81037",61,26,65
"1031","C81038",51,30,68
"1032","C81039",32,16,37
"1033","C81040",54,14,36
"1034","C81041",91,29,60
"1035","C81042",68,21,53
"1036","C81044",73,29,58
"1037","C81045",121,32,73
"1038","C81046",62,16,56
"1039","C81047",73,31,71
"1040","C81048",53,21,53
"1041","C81049",51,35,67
"1042","C81050",81,32,71
"1043","C81051",113,34,73
"1044","C81052",35,27,68
"1045","C81053",53,25,65
"1046","C81054",102,29,75
"1047","C81055",39,21,46
"1048","C81056",69,31,59
"1049","C81057",70,24,63
"1050","C81058",90,28,56
"1051","C81059",44,28,65
"1052","C81060",82,27,65
"1053","C81061",87,27,64
"1054","C81062",59,29,59
"1055","C81063",65,30,62
"1056","C81064",70,19,61
"1057","C81065",59,24,66
"1058","C81066",87,28,57
"1059","C81067",84,23,50
"1060","C81068",88,29,56
"1061","C81069",57,24,63
"1062","C81070",47,26,56
"1063","C81071",88,32,66
"1064","C81072",109,32,84
"1065","C81073",80,28,59
